iterations_cay,cost_vals_cay,gradient_vals_cay,iterations_exp,cost_vals_exp,gradient_vals_exp,iterations_pseudo,cost_vals_pseudo,gradient_vals_pseudo
123,16.032644473025357,0.009148295489071447,123,15.908650591189687,0.005431742912124385,123,15.908651465676346,0.005239965302958996
124,16.03263981343659,0.008665809953003381,124,15.908649270787857,0.0048709229409651025,124,15.90864963901684,0.0051714951735432535
125,16.032635574417093,0.008208919979758138,125,15.908647630687462,0.004803304130418591,125,15.908648487956174,0.004639430506758854
126,16.032631718248428,0.007776267003824789,126,15.908646574006152,0.004308312179686233,126,15.908647036987976,0.004578624474199087
127,16.03262821013184,0.007366549622842368,127,15.90864562744998,0.0042482907435574405,127,15.908646115554417,0.004108349866996588
128,16.032625882754196,0.0069785555161956826,128,15.90864442595292,0.004190943014460963,128,15.90864496258668,0.004054332872376033
129,16.03262316803787,0.007192884010178218,129,15.908643668262561,0.003758033669971027,129,15.908644224793067,0.0036386172256611823
130,16.032620695991803,0.006812965564560278,130,15.908642714370453,0.003707138138150406,130,15.908643308290827,0.003590616009675202
131,16.032618444804644,0.006453217417933032,131,15.90864210770978,0.0033249069475635856,131,15.908642717397399,0.003223081087585197
132,16.032616394895378,0.006112568887184621,132,15.908641350094156,0.003279721482626916,132,15.908642188040107,0.0031804128395536047
133,16.032614528184855,0.005789995350771999,133,15.908640864238889,0.0029421874608048875,133,15.908641515251677,0.003139711212645705
134,16.032612828409523,0.005484537571476,134,15.908640262276519,0.0029020570941764795,134,15.908641091193394,0.002817493401525587
135,16.03261128058322,0.005195278668916746,135,15.908639873076078,0.00260395107151065,135,15.908640556234609,0.002781321162532704
136,16.032609871200954,0.004921359107955808,136,15.908639524310685,0.0025682979396542596,136,15.90864021645,0.0024963559243108544
137,16.032608587839597,0.0046619582135652,137,15.908639082754567,0.002534252338898673,137,15.908639790934753,0.0024641988618217137
138,16.032607419287384,0.0044163057163007,138,15.90863880330791,0.0022732910172099407,138,15.908639518613295,0.0022121469354630784
139,16.032606355245708,0.004183666894142566,139,15.908638452362762,0.002243049820392707,139,15.90863918003329,0.0021835503471274616
140,16.03260538640809,0.003963351420532706,140,15.908638228404241,0.0020124924068508454,140,15.908638961730956,0.0019605818300871686
141,16.032604504236964,0.003754701403269521,141,15.908637949369309,0.0019856210380538625,141,15.90863869223205,0.0019351435072990264
142,16.032603701008842,0.0035570981240880426,142,15.908637769839116,0.001781897258672453,142,15.908638517194232,0.0017378775954383164
143,16.032602969646028,0.003369952393130532,143,15.908637547895989,0.0017580118484355847,143,15.908638360335255,0.0017152417646129712
144,16.03260248479379,0.003192710075660146,144,15.908637403947468,0.0015779741244349341,144,15.90863816223009,0.0016936700052774983
145,16.032601917941253,0.0032911453107830877,145,15.908637274917048,0.0015567355580259849,145,15.908638036430071,0.0015205444616092632
146,16.032601401279372,0.003117524064035858,146,15.908637111904254,0.0015364660897921904,146,15.908637878704843,0.0015013534521292303
147,16.032600930362893,0.0029531080960528483,147,15.908637008424185,0.001378716443874833,147,15.908637777791935,0.0013481381915052691
